IGNORANCE TYPE	ANNOTATION COUNT
incomplete_evidence	184
future_work	24
superficial_relationship	103
anomaly_curious_finding	25
alternative_options_controversy	46
probable_understanding	79
problem_complication	20
difficult_task	15
question_answered_by_this_work	28
important_consideration	33
explicit_question	36
full_unknown	56
future_prediction	5
